SO,edo,niv,ts,GA,P,T,TG,TC,PG,PC
ASF,Federal,Federal,Legislativo,0.5054,0.333,0.6778,0.5556,0.8,0.466,0.2
Aguascalientes-Aguascalientes,Aguascalientes,Municipal,Municipio,0.3581,0.1,0.6163,0.7033,0.5292,0,0.2
Aguascalientes-Asociacion De Catedraticos E Investigadores De La Universidad Autonoma De Aguascalientes (Aciuaa),Aguascalientes,Estatal,Sindicato,0.1167,0.1,0.1333,0.2667,0,0,0.2
Aguascalientes-Auditoria Estatal,Aguascalientes,Estatal,Legislativo,0.353,0.25,0.456,0.5244,0.3875,0,0.5
Aguascalientes-Calvillo,Aguascalientes,Municipal,Municipio,0.5065,0.366,0.6471,0.4858,0.8083,0.6,0.132
Aguascalientes-Congreso Estatal,Aguascalientes,Estatal,Legislativo,0.5676,0.5667,0.5685,0.6244,0.5125,0.2,0.9333
Aguascalientes-DIF,Aguascalientes,Estatal,Ejecutivo estatal,0.2715,0.1,0.4429,0.6025,0.2833,0,0.2
Aguascalientes-El Llano,Aguascalientes,Municipal,Municipio,0.4514,0.266,0.6368,0.4819,0.7917,0.4,0.132
Aguascalientes-Fideicomiso Fondo De Fomento Agropecuario Del Estado De Aguascalientes,Aguascalientes,Estatal,Fideicomiso,0.306,0.1,0.5121,0.47,0.5542,0,0.2
Aguascalientes-Fondo De Desastres Naturales Del Estado De Aguascalientes,Aguascalientes,Estatal,Fideicomiso,0.2927,0.1,0.4854,0.3667,0.6042,0,0.2
Aguascalientes-Gobernador,Aguascalientes,Estatal,Ejecutivo estatal,0.3938,0.1,0.6875,0.5792,0.7958,0,0.2
Aguascalientes-Instituto Electoral,Aguascalientes,Estatal,Autonomo,0.6174,0.55,0.6847,0.5778,0.7917,0.6,0.5
Aguascalientes-Jesus Maria,Aguascalientes,Municipal,Municipio,0.6705,0.583,0.7581,0.6953,0.8208,0.966,0.2
Aguascalientes-PES,Aguascalientes,Estatal,Partido,0.033,0.066,0,0,0,0,0.132
Aguascalientes-PMC,Aguascalientes,Estatal,Partido,0.075,0.1,0.05,0.1,0,0,0.2
Aguascalientes-PRI,Aguascalientes,Estatal,Partido,0.2413,0.4327,0.05,0.1,0,0,0.8653
Aguascalientes-San Francisco de los Romo,Aguascalientes,Municipal,Municipio,0.6205,0.65,0.591,0.4528,0.7292,0.3,1
Aguascalientes-Secretaria de Agricultura,Aguascalientes,Estatal,Ejecutivo estatal,0.459,0.216,0.7019,0.5872,0.8167,0,0.432
Aguascalientes-Secretaria de Desarrollo Social,Aguascalientes,Estatal,Ejecutivo estatal,0.5446,0.316,0.7732,0.7381,0.8083,0.5,0.132
Aguascalientes-Secretaria de Educacion,Aguascalientes,Estatal,Ejecutivo estatal,0.4882,0.5,0.4764,0.5153,0.4375,0,1
Aguascalientes-Secretaria de Gobierno,Aguascalientes,Estatal,Ejecutivo estatal,0.5785,0.45,0.7071,0.61,0.8042,0.4,0.5
Aguascalientes-Secretaria de Hacienda,Aguascalientes,Estatal,Ejecutivo estatal,0.6165,0.5,0.7331,0.6453,0.8208,0,1
