"","Entrega de información en medio electrónico","Inexistencia de la información solicitada","Información parcialmente reservada o confidencial","La información está disponible públicamente","La solicitud no corresponde al marco de la Ley ","Negativa por ser reservada o confidencial","No es de competencia de la unidad de enlace","No se dará trámite a la solicitud","Notificación de cambio de tipo de solicitud","Notificación de disponibilidad de información","Notificación de envío","Notificación de pago","Notificación de prórroga","Notificación lugar y fecha de entrega","Requerimiento de información adicional","Respuesta a solicitud de información adicional","Respuesta del solicitante a la notificación de entrega de información con  costo","Respuesta del solicitante a la notificación de entrega de información sin costo","Sin respuesta","SOS"
"AUDITORÍA SUPERIOR DE LA FEDERACIÓN",850,5,0,110,0,43,0,0,0,0,0,0,0,0,16,0,0,0,23,"AUDITORÍA SUPERIOR DE LA FEDERACIÓN"
"BANCO DE MÉXICO (BANXICO)",547,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,6,"BANCO DE MÉXICO (BANXICO)"
"CÁMARA DE DIPUTADOS",1702,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,36,"CÁMARA DE DIPUTADOS"
"COMISIÓN FEDERAL DE COMPETENCIA ECONÓMICA",174,83,2,10,0,20,25,0,0,2,1,2,2,1,5,0,0,0,22,"COMISIÓN FEDERAL DE COMPETENCIA ECONÓMICA"
"COMISIÓN NACIONAL DE LOS DERECHOS HUMANOS",791,0,0,10,0,5,51,0,0,0,0,0,11,0,55,1,0,0,41,"COMISIÓN NACIONAL DE LOS DERECHOS HUMANOS"
"CONSEJO DE LA JUDICATURA FEDERAL (CJF)",3984,16,0,46,4,179,79,282,0,1,0,0,60,0,215,12,0,0,166,"CONSEJO DE LA JUDICATURA FEDERAL (CJF)"
"FIDEICOMISO DE FOMENTO MINERO (FIFOMI)",33,2,0,0,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,"FIDEICOMISO DE FOMENTO MINERO (FIFOMI)"
"FIDEICOMISO FONDO NACIONAL DE HABITACIONES POPULARES",100,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,"FIDEICOMISO FONDO NACIONAL DE HABITACIONES POPULARES"
"FONDO DE CULTURA ECONÓMICA (FCE)",59,0,0,0,0,0,5,0,0,0,1,0,0,0,2,0,0,0,3,"FONDO DE CULTURA ECONÓMICA (FCE)"
"FONDO NACIONAL PARA EL FOMENTO DE LAS ARTESANÍAS",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"FONDO NACIONAL PARA EL FOMENTO DE LAS ARTESANÍAS"
"INSTITUTO FEDERAL DE TELECOMUNICACIONES",675,0,0,14,22,16,0,1,0,0,0,0,4,0,13,0,0,0,117,"INSTITUTO FEDERAL DE TELECOMUNICACIONES"
"INSTITUTO MEXICANO DE LA JUVENTUD",159,0,0,6,0,0,22,1,0,0,0,0,0,0,3,0,0,0,9,"INSTITUTO MEXICANO DE LA JUVENTUD"
"INSTITUTO MEXICANO DE TECNOLOGÍA DEL AGUA (IMTA)",34,44,0,1,0,1,3,0,0,3,5,0,0,0,3,0,1,0,5,"INSTITUTO MEXICANO DE TECNOLOGÍA DEL AGUA (IMTA)"
"INSTITUTO NACIONAL  PARA LA  EVALUACIÓN DE LA EDUCACIÓN. ÓRGANO CONSTITUCIONALMENTE AUTÓNOMO A PARTIR DEL 12 DE SEPTIEMBRE DE 2013",134,0,0,3,1,0,84,0,0,3,0,0,0,0,1,0,0,0,3,"INSTITUTO NACIONAL  PARA LA  EVALUACIÓN DE LA EDUCACIÓN. ÓRGANO CONSTITUCIONALMENTE AUTÓNOMO A PARTIR DEL 12 DE SEPTIEMBRE DE 2013"
"INSTITUTO NACIONAL DE ESTADÍSTICA Y GEOGRAFÍA",183,0,0,1,541,12,27,0,0,0,0,0,0,0,36,0,0,0,32,"INSTITUTO NACIONAL DE ESTADÍSTICA Y GEOGRAFÍA"
"INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES",80,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,"INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES"
"INSTITUTO NACIONAL DE TRANSPARENCIA, ACCESO A LA INFORMACIÓN Y PROTECCIÓN DE DATOS PERSONALES (Antes IFAI)",1607,1,0,135,0,15,331,24,0,0,0,0,0,0,81,5,0,0,94,"INSTITUTO NACIONAL DE TRANSPARENCIA, ACCESO A LA INFORMACIÓN Y PROTECCIÓN DE DATOS PERSONALES (Antes IFAI)"
"INSTITUTO NACIONAL ELECTORAL (INE)",2456,392,282,0,5,92,16,8,0,1,0,0,1,0,242,6,0,84,105,"INSTITUTO NACIONAL ELECTORAL (INE)"
"MORENA",630,0,0,3,10,0,21,0,0,0,0,0,8,0,8,1,0,0,48,"MORENA"
"MOVIMIENTO CIUDADANO",219,0,0,0,2,0,8,0,0,0,0,0,0,0,21,0,0,0,12,"MOVIMIENTO CIUDADANO"
"NUEVA ALIANZA",150,0,0,0,0,0,8,1,0,0,0,0,0,0,2,0,0,0,6,"NUEVA ALIANZA"
"OFICINA DE LA PRESIDENCIA DE LA REPÚBLICA",346,162,0,195,31,12,0,0,0,1,1,0,17,0,25,0,0,0,38,"OFICINA DE LA PRESIDENCIA DE LA REPÚBLICA"
"PARTIDO ACCIÓN NACIONAL",538,1,0,0,2,0,3,3,0,0,0,0,3,0,9,0,0,0,24,"PARTIDO ACCIÓN NACIONAL"
"PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA",308,0,0,18,21,0,15,7,0,0,0,0,0,0,12,2,0,0,46,"PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA"
"PARTIDO DEL TRABAJO",233,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,"PARTIDO DEL TRABAJO"
"PARTIDO ENCUENTRO SOCIAL",199,0,0,18,0,0,6,1,0,0,0,0,1,0,2,0,0,0,13,"PARTIDO ENCUENTRO SOCIAL"
"PARTIDO REVOLUCIONARIO INSTITUCIONAL",591,0,0,0,3,0,22,5,0,0,0,0,0,0,29,0,0,0,27,"PARTIDO REVOLUCIONARIO INSTITUCIONAL"
"PARTIDO VERDE ECOLOGISTA DE MÉXICO",249,0,0,1,0,1,3,0,0,0,0,0,0,0,3,0,0,0,20,"PARTIDO VERDE ECOLOGISTA DE MÉXICO"
"PETRÓLEOS MEXICANOS (PEMEX)",1447,205,7,8,7,47,330,1,0,149,142,2,22,41,47,0,51,0,108,"PETRÓLEOS MEXICANOS (PEMEX)"
